Title,Year,Age,IMDb,Rotten Tomatoes
Scott Pilgrim vs. the World,2010,13+,7.5,81%
Magnolia,1999,18+,8,83%
The Hateful Eight,2015,18+,7.8,75%
The Artist,2011,13+,7.9,95%
Moonlight,2016,18+,7.4,98%
Back to the Future Part II,1989,7+,7.8,65%
Willy Wonka & the Chocolate Factory,1971,all,7.8,91%
What's Eating Gilbert Grape,1993,13+,7.8,90%
The Curious Case of Benjamin Button,2008,13+,7.8,71%
A Silent Voice,2016,none,8.2,94%
Snowpiercer,2013,18+,7.1,94%
Hugo,2011,7+,7.5,93%
Ant-Man and the Wasp,2018,13+,7.1,88%
As Good as It Gets,1997,13+,7.7,85%
Back to the Future Part III,1990,7+,7.4,80%
Searching for Sugar Man,2012,13+,8.2,95%
Road to Perdition,2002,18+,7.7,81%
To All the Boys I've Loved Before,2020,13+,7.2,97%
Molly's Game,2017,18+,7.4,82%
Blackfish,2013,13+,8.1,98%
El Camino: A Breaking Bad Movie,2019,18+,7.4,91%
The Invisible Guest,2016,18+,8.1,67%
Song of the Sea,2014,7+,8.1,99%
End of Watch,2012,18+,7.6,85%
The Evil Dead,1981,18+,7.5,95%
About Time,2013,18+,7.8,68%
Kung Fu Hustle,2004,18+,7.7,90%
Blue Is the Warmest Color,2013,18+,7.7,89%
Y Tu Mamá También,2001,18+,7.6,92%
The Naked Gun: From the Files of Police Squad!,1988,13+,7.6,87%
Mud,2013,13+,7.4,97%
The Edge of Seventeen,2016,18+,7.3,94%
Philadelphia,1993,13+,7.7,80%
Lagaan: Once Upon a Time in India,2001,7+,8.1,95%
Tucker and Dale vs. Evil,2010,18+,7.5,85%
The Matrix Reloaded,2003,18+,7.2,73%
The Two Popes,2019,13+,7.6,89%
The Last Samurai,2003,18+,7.7,66%
The Florida Project,2017,18+,7.6,96%
13th,2016,18+,8.2,96%
Bahubali: The Beginning,2015,13+,8.1,88%
The Dawn Wall,2018,none,8.1,100%
Dolemite Is My Name,2019,18+,7.3,97%
Tarzan,1999,all,7.3,89%
The Platform,2019,18+,7,82%
Okja,2017,13+,7.3,87%
Roma,2018,18+,7.7,96%
Saving Mr. Banks,2013,13+,7.5,79%
Icarus,2017,18+,7.9,93%
Jiro Dreams of Sushi,2011,7+,7.9,99%
Corpse Bride,2005,7+,7.3,84%
Jerry Maguire,1996,18+,7.3,83%
The Death of Stalin,2017,18+,7.2,96%
GoldenEye,1995,13+,7.2,78%
The Boy in the Striped Pyjamas,2008,13+,7.8,63%
Amy,2015,18+,7.8,95%
Ralph Breaks the Internet,2018,7+,7.1,88%
Good Time,2017,18+,7.4,92%
Ip Man 2,2010,18+,7.5,96%
The Little Prince,2015,7+,7.7,93%
The Spectacular Now,2013,18+,7.1,91%
Baahubali 2: The Conclusion,2017,7+,8.2,89%
Black Mirror: Bandersnatch,2018,none,7.2,92%
PK,2014,13+,8.1,76%
Extraction,2020,18+,6.8,68%
The Lobster,2015,18+,7.2,87%
Blue Valentine,2010,18+,7.4,87%
Zindagi Na Milegi Dobara,2011,7+,8.1,91%
Green Room,2015,18+,7,91%
Kung Fu Panda 2,2011,7+,7.2,81%
The Ballad of Buster Scruggs,2018,18+,7.3,91%
Cloverfield,2008,13+,7,77%
Burning,2018,18+,7.5,95%
The Adventures of Tintin,2011,7+,7.3,74%
Bolt,2008,7+,6.8,89%
Neon Genesis Evangelion: The End of Evangelion,1997,none,8.1,88%
Chasing Amy,1997,18+,7.2,87%
The Princess and the Frog,2009,all,7.1,85%
Bad Genius,2017,13+,7.6,100%
The Wicker Man,1973,18+,7.5,89%
A Single Man,2009,18+,7.6,85%
Blow,2001,18+,7.6,55%
The Squid and the Whale,2005,18+,7.3,92%
My Life as a Zucchini,2016,13+,7.8,99%
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,7.7,94%
Barfi!,2012,all,8.1,86%
Frances Ha,2013,18+,7.5,92%
Tootsie,1982,7+,7.4,90%
Solo: A Star Wars Story,2018,13+,6.9,70%
Steve Jobs,2015,18+,7.2,85%
Tremors,1990,13+,7.1,88%
The Croods,2013,7+,7.2,71%
Locke,2014,18+,7.1,91%
Bill Burr: I'm Sorry You Feel That Way,2014,18+,8.4,100%
Starred Up,2013,18+,7.4,99%
Mudbound,2017,18+,7.4,97%
Austin Powers: International Man of Mystery,1997,13+,7,71%
Blue Ruin,2013,18+,7.1,96%
The Patriot,2000,18+,7.2,61%
Babel,2006,18+,7.4,69%
The Square,2013,none,8.1,100%
Gerald's Game,2017,18+,6.6,90%
Miracle,2004,7+,7.5,81%
Swades,2004,all,8.2,83%
Tinker Tailor Soldier Spy,2011,18+,7.1,83%
The Witch,2015,18+,6.9,90%
Haider,2014,13+,8.1,86%
Padman,2018,13+,7.9,100%
Hush,2016,18+,6.6,91%
Elizabeth,1998,18+,7.4,82%
Miss Americana,2020,18+,7.4,93%
Christopher Robin,2018,7+,7.3,73%
I Lost My Body,2019,18+,7.6,96%
I Am Mother,2019,13+,6.7,90%
Lupin the Third: The Castle of Cagliostro,1979,7+,7.7,94%
The Autopsy of Jane Doe,2016,18+,6.8,86%
Virunga,2014,none,8.2,100%
Freedom Writers,2007,13+,7.5,70%
The Master,2012,18+,7.2,85%
A Serious Man,2009,18+,7,90%
The King,2019,18+,7.2,70%
The Breadwinner,2017,13+,7.7,95%
The Boy Who Harnessed the Wind,2019,7+,7.6,87%
Article 15,2019,none,8.3,89%
The Killing of a Sacred Deer,2017,18+,7,79%
Lawless,2012,18+,7.3,67%
Kabhi Khushi Kabhie Gham,2001,all,7.4,100%
Charlie and the Chocolate Factory,2005,7+,6.6,82%
Freaks,2019,18+,6.7,87%
Hannah Gadsby: Nanette,2018,none,8.2,100%
The Mask of Zorro,1998,13+,6.7,82%
The Natural,1984,7+,7.5,82%
Equilibrium,2002,18+,7.4,40%
Arthur Christmas,2011,7+,7.1,92%
The Rainmaker,1997,13+,7.2,83%
Winter on Fire: Ukraine's Fight for Freedom,2015,none,8.4,88%
Always Be My Maybe,2019,13+,6.8,89%
The Crying Game,1992,18+,7.2,94%
War Horse,2011,13+,7.2,74%
Shot Caller,2017,18+,7.3,69%
The Invitation,2015,none,6.6,88%
A Most Violent Year,2014,18+,7,89%
The Other Guys,2010,13+,6.6,78%
Kapoor & Sons,2016,13+,7.7,100%
On Body and Soul,2017,none,7.6,89%
The Fundamentals of Caring,2016,18+,7.3,77%
Insidious,2010,13+,6.8,66%
Bill Burr: Paper Tiger,2019,18+,8.2,86%
Bad Boys,1995,18+,6.9,43%
The Foreigner,2017,18+,7,65%
The Danish Girl,2015,18+,7.1,67%
The Girl with All the Gifts,2016,18+,6.6,86%
Bird Box,2018,18+,6.6,63%
The Ring,2002,13+,7.1,71%
Hostiles,2017,18+,7.2,72%
Sairat,2016,none,8.3,100%
Trumbo,2015,18+,7.5,74%
LA 92,2017,18+,8.2,92%
20th Century Women,2016,18+,7.3,88%
Kal Ho Naa Ho,2003,all,8,70%
Swiss Army Man,2016,18+,7,71%
In This Corner of the World,2016,13+,7.8,97%
A Ghost Story,2017,18+,6.9,91%
United 93,2006,18+,7.5,90%
Patriot Games,1992,18+,6.9,72%
The Secret Life of Pets 2,2019,7+,6.5,60%
Hitch,2005,13+,6.6,68%
The Young Offenders,2016,none,7.1,100%
Enemy,2013,18+,6.9,71%
Mirage,2018,18+,7.4,71%
Everybody's Everything,2019,18+,7.4,100%
Indiana Jones and the Kingdom of the Crystal Skull,2008,13+,6.1,78%
The Guernsey Literary & Potato Peel Pie Society,2018,none,7.4,81%
I Don't Feel at Home in This World Anymore,2017,18+,6.9,88%
The Endless,2018,none,6.5,94%
Julie & Julia,2009,13+,7,77%
The Game Changers,2019,none,7.9,70%
Under the Shadow,2016,13+,6.9,99%
Angel Has Fallen,2019,18+,6.4,39%
Kon-Tiki,2012,13+,7.2,81%
Mary Poppins Returns,2018,7+,6.7,79%
Kajaki,2014,18+,7.1,100%
The Fear of 13,2015,none,7.7,94%
The Night Comes for Us,2018,18+,7,92%
Blood Father,2016,18+,6.4,89%
Stree,2018,7+,7.6,77%
American Factory,2019,16+,7.4,97%
Code 8,2019,none,6.1,79%
Salt,2010,13+,6.4,62%
The Hundred-Foot Journey,2014,7+,7.3,67%
The Distinguished Citizen,2016,none,7.5,100%
Scooby-Doo on Zombie Island,1998,all,7.8,86%
Chasing Coral,2017,none,8.1,100%
The End of the Tour,2015,18+,7.3,92%
The One I Love,2014,18+,7.1,82%
Underworld,2003,18+,7,31%
The Death of Mr. Lazarescu,2005,18+,7.9,93%
Madagascar: Escape 2 Africa,2008,7+,6.6,64%
The Wolf's Call,2019,16+,6.9,92%
What Happened to Monday,2017,18+,6.9,59%
The Willoughbys,2020,7+,6.4,90%
The White Helmets,2016,16+,7.5,100%
Suburra,2015,none,7.4,91%
The Matrix Revolutions,2003,18+,6.8,35%
Richard Pryor: Live in Concert,1979,18+,8.2,92%
Austin Powers: The Spy Who Shagged Me,1999,13+,6.6,52%
Get Him to the Greek,2010,18+,6.4,72%
Slow West,2015,18+,6.9,92%
The Meyerowitz Stories (New and Selected),2017,18+,6.9,93%
The Battered Bastards of Baseball,2014,none,8,100%
The Perfection,2018,18+,6.1,83%
Ip Man 3,2015,13+,7.1,78%
Sinister,2012,18+,6.8,64%
Rush: Beyond the Lighted Stage,2010,none,8.4,90%
20 Feet from Stardom,2013,13+,7.4,99%
The Stanford Prison Experiment,2015,18+,6.9,84%
My Week with Marilyn,2011,13+,7,83%
Catfish,2010,13+,7.1,80%
Secret Superstar,2017,none,7.9,90%
Private Life,2018,none,7.2,94%
Jarhead,2005,18+,7,61%
Yes Man,2008,13+,6.8,46%
For the Love of Spock,2016,none,7.6,100%
Goon,2012,18+,6.8,81%
Ace Ventura: Pet Detective,1994,13+,6.9,48%
Inequality for All,2013,7+,8,90%
Olympus Has Fallen,2013,18+,6.5,49%
Dave Chappelle: Sticks & Stones,2019,18+,8.5,35%
John Mulaney: Kid Gorgeous at Radio City,2018,18+,7.9,100%
La Bamba,1987,13+,6.9,90%
Public Enemies,2009,18+,7,68%
Supersonic,2016,18+,7.9,84%
The Edge of Democracy,2019,16+,7.1,97%
The Polar Express,2004,all,6.6,56%
Under the Skin,2014,18+,6.3,85%
Crip Camp: A Disability Revolution,2020,18+,7.8,100%
Tell Me Who I Am,2019,none,7.6,95%
Hey Arnold! The Jungle Movie,2017,7+,7.6,100%
Zack and Miri Make a Porno,2008,18+,6.5,65%
The Score,2001,18+,6.8,73%
Hamburger Hill,1987,18+,6.7,100%
9,2009,13+,7.1,57%
Undefeated,2011,13+,7.7,96%
Team Foxcatcher,2016,none,7.3,100%
A Shaun the Sheep Movie: Farmageddon,2019,all,6.9,97%
April and the Extraordinary World,2015,7+,7.3,96%
The Highwaymen,2019,18+,6.9,57%
Legend,2015,18+,6.9,61%
Boy & the World,2014,7+,7.6,93%
Creep 2,2017,none,6.4,100%
Terminator 3: Rise of the Machines,2003,18+,6.3,69%
Unrest,2017,none,7.7,100%
Guru,2007,13+,7.7,83%
Louis C.K. 2017,2017,18+,7.6,100%
A Twelve-Year Night,2018,none,7.6,88%
Happy as Lazzaro,2018,none,7.6,91%
"What Happened, Miss Simone?",2015,none,7.6,89%
Blue Jay,2016,none,7.3,90%
1922,2017,18+,6.3,90%
Hancock,2008,13+,6.4,41%
Circus of Books,2019,none,7.1,98%
"Hail, Caesar!",2016,13+,6.3,85%
The Pixar Story,2007,all,7.8,86%
Child's Play,1988,18+,6.6,71%
Springsteen On Broadway,2018,none,8.5,95%
The Angry Birds Movie 2,2019,7+,6.4,73%
Obvious Child,2014,18+,6.8,90%
Awe!,2018,none,7.8,100%
American Honey,2016,18+,7,79%
Last Breath,2019,none,7.7,92%
Udta Punjab,2016,18+,7.8,91%
Den of Thieves,2018,18+,7,41%
Wadjda,2012,7+,7.5,99%
The Spiderwick Chronicles,2008,7+,6.5,80%
The Christmas Chronicles,2018,7+,7.1,64%
Turbo,2013,7+,6.4,67%
My Girl,1991,7+,6.9,53%
22-jul,2018,18+,6.8,80%
Adam Sandler: 100% Fresh,2018,18+,7.6,92%
Remember,2015,18+,7.5,70%
Triple Frontier,2019,18+,6.4,72%
Bombshell: The Hedy Lamarr Story,2018,13+,7.4,96%
Paddleton,2019,18+,7.2,89%
Bad Boys II,2003,18+,6.6,23%
Sour Grapes,2016,16+,7.3,96%
Betting on Zero,2017,none,7.2,100%
Delhi Belly,2011,none,7.5,87%
Being Elmo: A Puppeteer's Journey,2011,7+,7.6,95%
Williams,2017,none,7.6,93%
It Comes at Night,2017,18+,6.2,87%
Cuba and the Cameraman,2017,none,8.2,100%
Creep,2014,18+,6.3,89%
The Interview,2014,18+,6.5,52%
Bobby Robson: More Than a Manager,2018,none,8.2,100%
Outbreak,1995,18+,6.6,59%
Black Snake Moan,2006,18+,6.9,66%
Bright,2017,18+,6.3,28%
Cargo,2017,none,6.3,85%
Even the Rain,2010,none,7.4,87%
Candyman,1992,18+,6.6,74%
Mary and the Witch's Flower,2017,7+,6.8,89%
Calibre,2018,18+,6.7,93%
First They Killed My Father,2017,18+,7.2,89%
Us and Them,2018,none,7.3,100%
Up in Smoke,1978,18+,7,50%
Final Destination,2000,18+,6.7,35%
Kill the Messenger,2014,18+,6.9,77%
Operation Odessa,2018,18+,7.8,100%
The American Meme,2018,none,7.3,100%
Outlaw King,2018,18+,6.9,61%
21,2008,13+,6.8,36%
Holding the Man,2015,none,7.4,81%
Krisha,2016,18+,7.2,95%
De Palma,2016,18+,7.4,94%
Dear Ex,2018,18+,7.4,89%
Tomorrow Never Dies,1997,13+,6.5,57%
Veronica,2017,18+,6.2,88%
The Cakemaker,2017,none,7.2,98%
Instructions Not Included,2013,13+,7.5,57%
Bleed for This,2016,18+,6.8,69%
Girl,2018,18+,7.2,84%
The Naked Gun 2½: The Smell of Fear,1991,13+,6.9,57%
Bareilly's Barfi,2017,none,7.5,86%
The Sky Is Pink,2019,none,7.5,72%
Chitty Chitty Bang Bang,1968,all,6.9,67%
A Wednesday!,2008,none,8.1,none
Jodhaa Akbar,2008,13+,7.6,75%
Handsome Devil,2017,none,7.1,83%
"Love, Rosie",2014,18+,7.2,33%
Oceans,2009,all,7.8,81%
The Ritual,2017,18+,6.3,71%
Super Dark Times,2017,none,6.6,89%
Tallulah,2016,none,6.7,84%
Other People,2016,none,6.8,85%
Alpha Dog,2006,18+,6.9,54%
Spectral,2016,13+,6.3,75%
The Babysitter,2017,18+,6.3,71%
"Extremely Wicked, Shockingly Evil and Vile",2019,18+,6.6,55%
Heneral Luna,2015,18+,7.6,71%
Click,2006,13+,6.4,33%
The Duchess,2008,13+,6.9,62%
The Last Man on the Moon,2016,18+,7.4,94%
The 24 Hour War,2016,none,7.2,100%
Mune: Guardian of the Moon,2015,7+,7.2,80%
The Devil We Know,2018,none,7.7,100%
How the Grinch Stole Christmas,2000,7+,6.2,50%
LA Originals,2020,none,7.3,83%
Whisky,2004,none,7.1,100%
The Sapphires,2012,13+,7,91%
Bloodsport,1988,18+,6.8,40%
Tinker Bell and the Legend of the NeverBeast,2014,all,7.3,75%
Get Me Roger Stone,2017,16+,7.4,88%
Alex Strangelove,2018,18+,6.3,86%
She's Out of My League,2010,18+,6.4,58%
Sarah's Key,2010,13+,7.5,72%
My Happy Family,2017,none,7.4,100%
Killing Them Softly,2012,18+,6.2,73%
Ittefaq,2017,7+,7.2,89%
6 Underground,2019,18+,6.1,36%
The Accountant of Auschwitz,2018,none,7.3,100%
Echo in the Canyon,2019,13+,7,92%
Hold the Dark,2018,none,5.6,73%
Suffragette,2015,13+,6.9,73%
The Siege of Jadotville,2016,none,7.2,60%
Terminator Salvation,2009,13+,6.5,33%
Hotel Transylvania 3: Summer Vacation,2018,7+,6.3,62%
Filmworker,2018,none,7.4,95%
Our Souls at Night,2017,16+,6.9,90%
Mine 9,2019,none,6.7,88%
Everybody Knows,2018,18+,6.9,78%
Retribution,2015,none,6.6,100%
Ice Guardians,2016,none,7.5,100%
Tinker Bell and the Pirate Fairy,2014,all,6.6,81%
The World Is Not Enough,1999,13+,6.4,52%
Suite Française,2014,none,7,76%
Period. End of Sentence.,2018,none,7.4,83%
Beyond the Mat,1999,18+,7.6,82%
Next Gen,2018,7+,6.6,80%
Cam,2018,18+,5.9,93%
Divines,2016,none,7.4,83%
Shirkers,2018,none,7.4,100%
Underworld: Evolution,2006,18+,6.7,17%
Om Shanti Om,2007,7+,6.7,76%
How to Change the World,2015,none,7.6,95%
Spitfire,2018,7+,7.5,94%
You Are My Sunday,2016,none,7.7,100%
Dear Zindagi,2016,13+,7.6,69%
Uncorked,2020,13+,6.1,93%
The Water Diviner,2014,18+,7,61%
Gaga: Five Foot Two,2017,18+,7,74%
Austin Powers in Goldmember,2002,13+,6.2,54%
He Never Died,2015,18+,6.4,87%
Black Sea,2014,18+,6.4,80%
Ali's Wedding,2017,18+,6.9,92%
Event Horizon,1997,18+,6.7,27%
Mississippi Grind,2015,18+,6.4,91%
They'll Love Me When I'm Dead,2018,18+,7.4,92%
Kai Po Che!,2013,none,7.6,76%
Badla,2019,7+,7.9,57%
Young Adult,2011,18+,6.2,80%
ZZ Top: That Little Ol' Band From Texas,2019,none,7.4,100%
Scary Movie,2000,18+,6.2,53%
The Dirt,2019,18+,7,42%
Killer Klowns from Outer Space,1988,13+,6.2,78%
The Exception,2017,18+,6.8,74%
Spenser Confidential,2020,18+,6.2,38%
Wheelman,2017,18+,6.4,88%
While We're Young,2014,18+,6.3,84%
Die Another Day,2002,13+,6.1,57%
The Grandmaster,2013,13+,6.6,78%
Bathtubs Over Broadway,2018,13+,7.5,100%
Cadillac Records,2008,18+,7,67%
I am Divine,2013,none,7.6,96%
King Jack,2015,none,7,94%
The Runaways,2010,18+,6.5,70%
2012,2009,13+,5.8,39%
The Half of It,2020,13+,7,95%
Tigertail,2020,7+,6.4,80%
Sleeping with Other People,2015,18+,6.5,64%
What Lies Beneath,2000,13+,6.6,46%
Fractured,2019,18+,6.4,62%
Master Z: Ip Man Legacy,2018,13+,6.5,89%
Neruda,2016,18+,6.9,93%
One Day,2011,13+,7,36%
Just Friends,2005,13+,6.2,42%
Aśoka,2001,18+,6.5,100%
Harold and Lillian: A Hollywood Love Story,2017,none,8,97%
The Grinch,2018,7+,6.3,59%
Qarib Qarib Singlle,2017,none,7,88%
Beasts of No Nation,2015,none,7.7,91%
Time Trap,2017,18+,6.5,60%
Final Destination 2,2003,18+,6.2,48%
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,none,7.1,100%
Dance Academy: The Movie,2017,none,7,100%
White Fang,2018,7+,6.9,88%
All the Bright Places,2020,18+,6.5,68%
Elena,2013,none,7.6,85%
Underworld: Rise of the Lycans,2009,18+,6.6,30%
Talaash,2012,none,7.2,80%
Kevin Hart: Laugh at My Pain,2011,18+,7.4,71%
Gridiron Gang,2006,13+,6.9,43%
Hot Rod,2007,13+,6.7,39%
Bee Movie,2007,7+,6.1,50%
Trash,2014,18+,7.2,66%
The Photographer of Mauthausen,2018,18+,6.7,83%
He's Just Not That Into You,2009,13+,6.4,41%
Forks Over Knives,2011,7+,7.7,59%
Bandits,2001,13+,6.5,64%
Sanju,2018,none,7.8,50%
Blame!,2017,13+,6.7,82%
Quincy,2018,18+,7.6,81%
DragonHeart,1996,13+,6.5,50%
Bad Day for the Cut,2017,none,6.5,92%
We the Animals,2018,18+,6.9,93%
Soul Surfer,2011,7+,7,45%
Rocko's Modern Life: Static Cling,2019,7+,7,91%
Haywire,2011,18+,5.8,80%
Pink,2016,none,8.1,100%
Stuart Little,1999,7+,5.9,67%
Cutie and the Boxer,2013,18+,7.2,95%
The World Is Yours,2018,18+,6.4,100%
Berlin Syndrome,2017,18+,6.3,75%
Furie,2019,18+,5.8,95%
Big Miracle,2012,7+,6.5,75%
Tramps,2016,none,6.5,95%
Parmanu: The Story of Pokhran,2018,none,7.7,50%
Kursk,2018,13+,6.6,69%
Deep Impact,1998,13+,6.2,45%
The Kindergarten Teacher,2018,none,6.7,89%
Stonehearst Asylum,2014,13+,6.8,54%
"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,18+,7.8,88%
The Wandering Earth,2019,13+,6,75%
Bon Cop Bad Cop,2006,13+,6.8,78%
Melvin Goes to Dinner,2003,18+,6.8,100%
Chappaquiddick,2018,13+,6.5,81%
Miles Davis: Birth of the Cool,2019,none,7.4,93%
Mission Control: The Unsung Heroes of Apollo,2017,7+,7.5,100%
Dukhtar,2014,7+,7,93%
Red Dawn,1984,13+,6.4,46%
Kaabil,2017,18+,7.1,70%
The Company Men,2010,18+,6.7,67%
Studio 54,2018,18+,6.9,90%
The Case for Christ,2017,7+,6.2,59%
Outside In,2018,none,6.6,95%
Mowgli: Legend of the Jungle,2018,13+,6.5,52%
Errementari: The Blacksmith and the Devil,2018,none,6.3,67%
Jimmy Neutron: Boy Genius,2001,all,6,74%
World Trade Center,2006,13+,5.9,67%
I Am Kalam,2010,all,8,80%
PEEPLI [Live],2010,7+,7.4,85%
My Scientology Movie,2016,none,6.7,89%
Latin History for Morons: John Leguizamo's Road to Broadway,2018,7+,7.5,100%
Mortal Kombat,1995,13+,5.8,47%
Behind the Curve,2018,16+,6.5,89%
Soni,2019,18+,7.2,85%
Carriers,2009,13+,6,68%
Tig,2015,none,7.4,77%
Patton Oswalt: Annihilation,2017,none,7.2,100%
Trixie Mattel: Moving Parts,2019,none,7.3,88%
Petta,2019,none,7.3,80%
The Bill Murray Stories: Life Lessons Learned from a Mythical Man,2018,18+,7,95%
Can't Hardly Wait,1998,13+,6.5,42%
The Confirmation,2016,13+,6.4,91%
The First Wives Club,1996,7+,6.4,50%
Colonia,2016,18+,7.1,26%
Free Fire,2017,18+,6.4,68%
Life As We Know It,2010,13+,6.5,29%
To All the Boys: P.S. I Still Love You,2020,16+,6,75%
Cop Car,2015,18+,6.3,80%
Urban Cowboy,1980,7+,6.3,67%
Above the Rim,1994,18+,6.6,53%
Screwball,2019,none,7.1,94%
Prosecuting Evil: The Extraordinary World of Ben Ferencz,2018,none,7.3,100%
The Incident,2014,none,6.4,83%
Resident Evil: Extinction,2007,18+,6.3,24%
American Assassin,2017,18+,6.2,35%
Rang De Basanti,2006,13+,8.2,none
Open Season,2006,7+,6.1,48%
Strong Island,2017,none,6.4,100%
Resident Evil: Apocalypse,2004,18+,6.2,20%
Smoke & Mirrors,2016,none,6.9,83%
Sky Ladder: The Art of Cai Guo-Qiang,2017,none,7.3,100%
Kate & Leopold,2001,13+,6.4,50%
Raiders!: The Story of the Greatest Fan Film Ever Made,2015,none,6.9,91%
Then Came You,2019,13+,7,59%
The Forest of Love,2019,none,6.4,100%
I Called Him Morgan,2016,none,7.3,96%
The Money Pit,1986,7+,6.4,48%
The Angel,2018,18+,6.6,75%
Burlesque,2010,13+,6.4,36%
My Masterpiece,2018,none,7.1,86%
Mr. Church,2016,13+,7.6,24%
Murder Mystery,2019,13+,6,44%
Audrie & Daisy,2016,none,7.2,81%
Miss Hokusai,2015,13+,6.7,93%
Dumplin',2018,none,6.6,63%
The Invention of Lying,2009,13+,6.4,56%
Breath,2017,18+,6.7,80%
Kodachrome,2017,18+,6.8,72%
Operation Red Sea,2018,18+,6.7,80%
Murder Party,2007,none,5.8,100%
Woodstock: Three Days That Defined a Generation,2019,none,7.6,84%
Laggies,2014,18+,6.4,65%
Eye for an Eye,2019,none,6.6,88%
Cowspiracy: The Sustainability Secret,2014,none,8.3,none
Eddie Murphy: Delirious,1983,18+,8.2,83%
The Aerial,2007,none,7.4,64%
Fire in Paradise,2019,18+,7.4,80%
Cookie's Fortune,1999,13+,6.8,86%
Before I Wake,2016,13+,6.2,61%
Layla M.,2016,none,6.7,100%
Mountain,2018,7+,7.2,87%
Center Stage,2000,13+,6.7,42%
Mr. Right,2016,18+,6.3,44%
Tamasha,2015,7+,7.3,67%
Just Another Love Story,2007,none,7.2,74%
Quartet,2012,13+,6.8,80%
Dil Chahta Hai,2001,all,8.1,none
"Bikram: Yogi, Guru, Predator",2019,18+,6.7,96%
Dolphin Tale 2,2014,7+,6.4,65%
No One Killed Jessica,2011,13+,7.2,80%
I Am Bolt,2016,7+,7.1,85%
Evolution,2001,13+,6.1,43%
BuyBust,2018,none,5.8,82%
Advantageous,2015,none,6.2,84%
The Iron Lady,2011,13+,6.4,52%
Son of a Gun,2014,18+,6.5,62%
Rugrats in Paris: The Movie,2000,all,6.1,76%
On My Skin,2018,none,7.3,60%
Sweetheart,2019,13+,5.7,94%
Raees,2017,18+,6.8,67%
The Rover,2014,18+,6.4,66%
Paan Singh Tomar,2012,7+,8.2,none
The Other Side of the Wind,2018,18+,6.8,83%
The Garden of Words,2013,13+,7.5,none
The Legend of 420,2017,none,6.7,100%
Let It Fall: Los Angeles 1982-1992,2017,18+,7.7,100%
Manto,2018,none,7.4,71%
Rainbow,2015,none,8,73%
Walking Out,2017,13+,5.8,90%
Holy Hell,2016,none,7.1,75%
After,2019,13+,5.4,17%
Jersey Boys,2014,18+,6.8,51%
Flavors of Youth,2018,none,6.6,80%
Nappily Ever After,2018,18+,6.4,71%
Final Destination 3,2006,18+,5.8,43%
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,13+,6.6,41%
Elizabeth: The Golden Age,2007,13+,6.8,34%
37 Seconds,2019,none,7.3,85%
A Futile and Stupid Gesture,2018,18+,6.8,61%
The Green Hornet,2011,13+,5.8,44%
Dear John,2010,13+,6.3,29%
Heroin(e),2017,none,6.8,100%
Guzaarish,2010,7+,7.4,67%
Imperial Dreams,2014,none,6.8,91%
Between Two Ferns: The Movie,2019,18+,6.1,77%
13 Sins,2014,18+,6.3,65%
