Title,Year,Age,IMDb,Rotten Tomatoes
The Many Adventures of Winnie the Pooh,1977,all,7.6,100%
Star Wars: Episode II - Attack of the Clones,2002,7+,6.5,65%
The Muppet Movie,1979,all,7.6,88%
Mickey's Christmas Carol,1983,all,8,100%
Star Wars: Episode I - The Phantom Menace,1999,7+,6.5,53%
Cool Runnings,1993,7+,7,76%
The Parent Trap,1998,7+,6.5,86%
The Muppet Christmas Carol,1992,all,7.7,75%
Treasure Planet,2002,7+,7.2,69%
The Fox and the Hound,1981,all,7.3,70%
Holes,2003,7+,7,78%
Pete's Dragon,2016,7+,6.7,88%
The Good Dinosaur,2015,7+,6.7,76%
Frankenweenie,2012,7+,6.9,87%
Tron,1982,7+,6.8,74%
Winnie the Pooh,2011,all,7.2,91%
TRON: Legacy,2010,7+,6.8,51%
The Sword in the Stone,1963,all,7.2,67%
The Aristocats,1970,all,7.1,66%
Cars 3,2017,all,6.7,70%
Queen of Katwe,2016,7+,7.4,93%
Homeward Bound: The Incredible Journey,1993,all,6.9,87%
Maleficent: Mistress of Evil,2019,7+,6.6,40%
Before the Flood,2016,7+,8.3,74%
The Chronicles of Narnia: Prince Caspian,2008,7+,6.5,66%
The Great Mouse Detective,1986,all,7.2,79%
Flight of the Navigator,1986,7+,6.9,83%
James and the Giant Peach,1996,7+,6.7,91%
Willow,1988,7+,7.3,50%
Meet the Robinsons,2007,all,6.8,67%
Star Wars: Episode III - Revenge of the Sith,2005,13+,7.5,none
Fantasia 2000,1999,all,7.2,81%
Tinker Bell,2008,all,6.8,100%
The Rescuers,1977,all,6.9,80%
Eight Below,2006,7+,7.3,72%
Invincible,2006,7+,7.1,72%
Sister Act,1992,7+,6.4,73%
John Carter,2012,13+,6.6,52%
Freaky Friday,2003,7+,6.1,88%
The Santa Clause,1994,7+,6.5,71%
Descendants,2015,all,6.4,90%
Old Yeller,1957,all,7.3,100%
"Honey, I Shrunk the Kids",1989,7+,6.3,75%
Phineas and Ferb the Movie: Across the 2nd Dimension,2011,all,7.4,100%
Pirates of the Caribbean: On Stranger Tides,2011,13+,6.6,33%
The BFG,2016,7+,6.4,75%
The Princess Diaries,2001,all,6.3,48%
National Treasure: Book of Secrets,2007,7+,6.5,36%
The Finest Hours,2016,13+,6.8,64%
DuckTales: The Movie - Treasure of the Lost Lamp,1990,all,6.9,88%
A Goofy Movie,1995,all,6.8,59%
The Greatest Game Ever Played,2005,7+,7.4,63%
The Lion King 1½,2004,all,6.5,78%
The Lion King II: Simba's Pride,1998,all,6.5,62%
The Adventures of Ichabod and Mr. Toad,1949,7+,7,93%
Tinker Bell and the Lost Treasure,2009,all,6.7,100%
Bedknobs and Broomsticks,1971,all,7.1,65%
Hocus Pocus,1993,7+,6.9,34%
Secretariat,2010,7+,7.2,63%
Darby O'Gill and the Little People,1959,all,7.2,100%
Muppet Treasure Island,1996,all,7,73%
The Rescuers Down Under,1990,all,6.9,69%
The Rocketeer,1991,7+,6.5,65%
High School Musical,2006,all,5.4,63%
Atlantis: The Lost Empire,2001,7+,6.9,49%
The Great Muppet Caper,1981,all,7.2,76%
Teen Beach Movie,2013,7+,5.9,86%
Journey to the Center of the Earth,1959,all,7,86%
Pollyanna,1960,all,7.4,86%
High School Musical 2,2007,all,5,82%
Halloweentown,1998,all,6.8,80%
Brother Bear,2003,all,6.8,37%
Millions,2004,13+,6.9,88%
Muppets Most Wanted,2014,7+,6.4,80%
The Journey of Natty Gann,1985,7+,7.1,100%
Secret of the Wings,2012,all,7.1,60%
Cars 2,2011,all,6.1,39%
Tinker Bell and the Great Fairy Rescue,2010,all,6.9,78%
Descendants 2,2017,all,6.5,67%
Adventures in Babysitting,2016,all,6,100%
Dinosaur,2000,7+,6.5,64%
Dumbo,2019,7+,6.3,47%
The Color of Friendship,2000,7+,7.2,100%
Oliver & Company,1988,all,6.7,51%
Monkey Kingdom,2015,all,7.3,93%
"Davy Crockett, King of the Wild Frontier",1955,all,7,100%
The Three Caballeros,1944,all,6.5,82%
That Darn Cat!,1965,all,6.8,94%
African Cats,2011,all,7.6,73%
Newsies,1992,7+,7,39%
3 Men and a Baby,1987,7+,6,75%
Tuck Everlasting,2002,7+,6.6,60%
The Incredible Journey,1963,all,7.1,89%
The Love Bug,1968,all,6.5,76%
High School Musical 3: Senior Year,2008,all,4.8,64%
Return to Oz,1985,7+,6.7,52%
Blackbeard's Ghost,1968,all,6.9,82%
Chimpanzee,2012,all,7.2,76%
The Absent-Minded Professor,1961,all,6.8,83%
Camp Rock,2008,all,5.2,45%
Penguins,2019,all,7,92%
Pooh's Heffalump Movie,2005,all,6.4,80%
Turner & Hooch,1989,7+,6.2,52%
Glory Road,2006,7+,7.2,none
Princess Protection Program,2009,all,5.6,60%
Science Fair,2018,7+,7.4,97%
Greyfriars Bobby: The True Story of a Dog,1961,none,7.3,100%
Diary of a Wimpy Kid,2010,7+,6.2,53%
The Odd Life of Timothy Green,2012,7+,6.6,35%
Splash,1984,7+,6.2,90%
The Princess Diaries 2: Royal Engagement,2004,all,5.8,26%
The Black Cauldron,1985,7+,6.4,55%
The Game Plan,2007,7+,6.1,28%
Cinderella III: A Twist in Time,2007,all,5.9,75%
Waking Sleeping Beauty,2009,7+,7.6,71%
The Tigger Movie,2000,all,6.3,62%
Escape to Witch Mountain,1975,all,6.4,76%
Timmy Failure: Mistakes Were Made,2020,7+,6.1,88%
101 Dalmatians,1996,all,5.7,42%
The Last Song,2010,7+,6,21%
George of the Jungle,1997,7+,5.5,57%
Frank and Ollie,1995,7+,7.8,88%
The Santa Clause 2,2002,all,5.6,56%
Heavyweights,1995,7+,6.6,29%
Ice Princess,2005,all,6,52%
Bedtime Stories,2008,7+,6,26%
Cheaper by the Dozen,2003,7+,5.9,24%
An Extremely Goofy Movie,2000,all,6.4,63%
Twitches,2005,7+,5.7,60%
Iron Will,1994,7+,6.6,62%
Aladdin and the King of Thieves,1996,all,6.4,33%
Piglet's Big Movie,2003,all,6.1,70%
Because of Winn-Dixie,2005,7+,6.3,55%
Fun and Fancy Free,1947,all,6.6,67%
Mickey's Once Upon a Christmas,1999,all,7.2,40%
Deep Blue,2003,all,7.4,67%
Red Tails,2012,13+,5.9,40%
Lilo & Stitch 2: Stitch Has a Glitch,2005,7+,6.3,40%
Ruby Bridges,1998,7+,7.2,83%
Doctor Dolittle,1998,13+,5.4,42%
Brother Bear 2,2006,7+,6.2,50%
Camp Rock 2: The Final Jam,2010,7+,5.2,63%
Recess: School's Out,2001,all,6.6,60%
The Adventures of Huck Finn,1993,7+,6.2,73%
Lemonade Mouth,2011,7+,6.9,none
The Crimson Wing: Mystery of the Flamingos,2008,all,7.3,75%
Big Business,1988,7+,6.4,44%
Melody Time,1948,none,6.4,80%
Bambi II,2006,all,6.1,50%
The Cheetah Girls,2003,all,4.8,71%
Hannah Montana: The Movie,2009,all,4.5,44%
Herbie Rides Again,1974,all,5.7,80%
Descendants 3,2019,all,6.7,78%
Olaf's Frozen Adventure,2017,all,5.5,57%
The Apple Dumpling Gang,1975,all,6.5,56%
Newsies: The Broadway Musical,2017,13+,8.5,none
101 Dalmatians II: Patch's London Adventure,2003,all,5.8,67%
Saludos Amigos,1942,none,6.2,83%
Mighty Joe Young,1998,7+,5.6,55%
Thumbelina,1994,all,6.3,30%
The Lizzie McGuire Movie,2003,7+,5.5,41%
The Cat from Outer Space,1978,all,6.1,67%
Rookie of the Year,1993,7+,6,35%
Sister Act 2: Back in the Habit,1993,7+,5.6,7%
Homeward Bound II: Lost in San Francisco,1996,all,5.9,53%
Jump In!,2007,all,5.3,63%
Roving Mars,2006,7+,7.2,70%
The Black Hole,1979,7+,6,40%
Lady and the Tramp II: Scamp's Adventure,2001,all,5.9,45%
Around the World in 80 Days,2004,7+,5.9,32%
Luxo Jr.,1986,all,7.3,none
Flubber,1997,7+,5.3,24%
The Return of Jafar,1994,all,5.9,33%
Aliens of the Deep,2005,all,6.4,84%
"Mickey, Donald, Goofy: The Three Musketeers",2004,all,6.4,36%
The Little Mermaid: Ariel's Beginning,2008,7+,6.3,33%
The Cheetah Girls 2: When in Spain,2006,all,5,43%
Pooh's Grand Adventure: The Search for Christopher Robin,1997,all,7.1,33%
Jack,1996,13+,5.8,18%
Stargirl,2020,7+,6.2,71%
Return to Never Land,2002,all,5.8,45%
The Shaggy Dog,1959,all,6.5,68%
Herbie Goes to Monte Carlo,1977,all,5.7,60%
Home on the Range,2004,7+,5.3,53%
The Little Mermaid II: Return to the Sea,2000,7+,5.6,33%
The Cheetah Girls: One World,2008,all,4.7,67%
Leroy & Stitch,2006,all,6.2,40%
Herbie Fully Loaded,2005,all,4.8,41%
Let It Shine,2012,all,6.4,none
Wizards of Waverly Place: The Movie,2009,7+,6.2,none
A Wrinkle in Time,2018,7+,4.2,42%
Benji the Hunted,1987,all,6.3,50%
Recess: Taking the Fifth Grade,2003,all,6.8,67%
The Even Stevens Movie,2003,all,6.2,40%
Marvel Rising: Secret Warriors,2018,none,5.2,100%
Mars Needs Moms,2011,7+,5.4,37%
Sharpay's Fabulous Adventure,2011,all,4.7,60%
The Wizards Return: Alex vs. Alex,2013,7+,6.4,none
Home Alone 3,1997,7+,4.5,29%
3 Men and a Little Lady,1990,7+,5.4,38%
Beauty and the Beast: The Enchanted Christmas,1997,all,6.1,13%
Annie,1999,all,6.7,none
Tiger Cruise,2005,7+,6.2,60%
Stitch! The Movie,2003,all,6.2,20%
Babes in Toyland,1961,all,6.3,36%
Brink!,1998,all,7.1,none
Tall Tale,1995,7+,5.9,50%
"Good Luck Charlie, It's Christmas!",2011,all,6.4,none
G-Force,2009,7+,5.1,22%
Cloud 9,2014,all,6.6,none
Geek Charming,2011,7+,6.4,none
Snow Dogs,2002,7+,5.2,25%
Mulan II,2004,all,5.7,none
Dr. Dolittle 2,2001,7+,4.7,42%
Kim Possible Movie: So the Drama,2005,all,7.1,none
Camp Nowhere,1994,7+,6.1,18%
Honey I Blew Up the Kid,1992,7+,4.8,40%
Steamboat Willie,1928,none,7.6,none
Motocrossed,2001,all,6.6,none
One Magic Christmas,1985,all,6.5,47%
The Computer Wore Tennis Shoes,1969,all,6.1,50%
Halloweentown II: Kalabar's Revenge,2001,all,6.5,none
102 Dalmatians,2000,all,4.9,31%
The Santa Clause 3: The Escape Clause,2006,all,4.7,17%
Teen Beach 2,2015,all,6.1,none
Return from Witch Mountain,1978,all,5.9,50%
Kitbull,2019,7+,8,none
Tru Confessions,2002,all,7.5,none
Treasure Island,1950,7+,6.9,none
Prom,2011,7+,5.4,36%
Mickey's Twice Upon a Christmas,2004,all,6.5,none
Zenon: Girl of the 21st Century,1999,all,6.4,none
The Wild,2006,all,5.3,19%
Halloweentown High,2004,all,6.2,none
Valiant,2005,all,5.5,32%
Candleshoe,1977,7+,6.8,none
The Haunted Mansion,2003,7+,5,14%
Twitches Too,2007,7+,5.8,none
Jungle 2 Jungle,1997,7+,5.2,19%
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2008,all,2.4,73%
The Ugly Dachshund,1966,all,6.7,none
Kronk's New Groove,2005,all,5.8,none
Marvel Studios: Assembling a Universe,2014,7+,7.6,none
Smart House,1999,all,6.3,none
Cadet Kelly,2002,all,5.5,none
Z-O-M-B-I-E-S,2018,all,6.3,none
Tom and Huck,1995,7+,5.5,25%
Young Black Stallion,2003,all,5.6,45%
Tangled: Before Ever After,2017,all,6.6,none
The Reluctant Dragon,1941,all,6.9,none
Pocahontas II: Journey to a New World,1998,all,4.9,29%
Cheetah,1989,all,6,50%
Avalon High,2011,all,5.7,none
The Fox and the Hound 2,2006,all,5.3,20%
"Honey, We Shrunk Ourselves",1997,7+,5,25%
How to Build a Better Boy,2014,all,5.5,none
The Jungle Book 2,2003,all,5.4,19%
The Luck of the Irish,2001,all,6.2,none
Tin Toy,1988,all,6.5,none
Return to Halloweentown,2006,all,5.6,none
Winnie the Pooh: A Very Merry Pooh Year,2002,all,6.8,none
Johnny Tsunami,1999,all,6.3,none
The Disney Family Singalong,2020,all,8.1,none
Don't Look Under the Bed,1999,7+,6.9,none
I'll Be Home for Christmas,1998,all,5.5,23%
Invisible Sister,2015,all,6.1,none
Confessions of a Teenage Drama Queen,2004,7+,4.6,14%
The Shaggy D.A.,1976,all,5.9,50%
Minutemen,2008,all,5.8,none
Shipwrecked,1990,7+,6.7,none
Into the Okavango,2018,7+,7.7,none
Winnie the Pooh: Springtime with Roo,2004,all,6.5,none
12 Dates of Christmas,2011,7+,6.3,none
Cow Belles,2006,all,5.2,none
The Brave Little Toaster to the Rescue,1997,all,6.3,40%
Blank Check,1994,7+,5.3,9%
Cinderella II: Dreams Come True,2002,all,5,11%
The Thirteenth Year,1999,all,6,none
Phineas and Ferb: Star Wars,2014,all,8.2,none
Belle's Magical World,1998,all,5.4,17%
Davy Crockett and the River Pirates,1956,all,6.8,none
The Suite Life Movie,2011,all,5.3,none
Lamp Life,2020,none,6.7,none
Tarzan & Jane,2002,all,5.4,17%
Bad Hair Day,2015,all,6,none
Operation Dumbo Drop,1995,7+,5.1,31%
The Story of Robin Hood and His Merrie Men,1952,7+,6.7,none
Read It and Weep,2006,all,5.5,none
The Living Desert,1953,all,7.5,none
Herbie Goes Bananas,1980,all,5,40%
Mr. Boogedy,1986,all,7.3,none
Double Teamed,2002,all,6.1,none
The Brave Little Toaster Goes to Mars,1998,all,5.7,40%
First Kid,1996,7+,5.2,23%
The Adventures of Bullwhip Griffin,1967,none,6.5,43%
The Proud Family Movie,2005,all,5.4,none
Phineas and Ferb: Mission Marvel,2013,all,8.3,none
Go Figure,2005,all,5.7,none
Stuck in the Suburbs,2004,all,5.6,none
Ice Age: The Great Egg-Scapade,2016,7+,5.9,none
College Road Trip,2008,all,4.3,12%
Girl vs. Monster,2012,7+,5.5,none
Going to the Mat,2004,all,6.8,none
Right on Track,2003,all,6.2,none
Life with Mikey,1993,7+,5.6,25%
Wendy Wu: Homecoming Warrior,2006,all,5.4,none
"Marvel: 75 Years, From Pulp to Pop!",2014,7+,7.3,none
The Small One,1978,all,7.8,none
Phantom of the Megaplex,2000,all,6.5,none
The Apple Dumpling Gang Rides Again,1979,all,6.2,none
Mom's Got a Date with a Vampire,2000,7+,5.9,none
Atlantis: Milo's Return,2003,all,5.1,none
Snowball Express,1972,all,6.5,none
Sacred Planet,2004,all,6.1,58%
The Hunchback of Notre Dame II,2002,all,4.7,30%
Rip Girls,2000,all,6.2,none
MARS: Inside SpaceX,2018,7+,7.4,none
Zenon: The Zequel,2001,all,5.9,none
Wings of Life,2011,all,7.4,none
Get a Clue,2002,all,5.1,none
Hatching Pete,2009,all,5.4,none
Apollo: Missions to the Moon,2019,none,7.7,none
Pixel Perfect,2004,all,5.7,none
The Vanishing Prairie,1954,all,7.5,none
Alley Cats Strike,2000,all,6.1,none
Life-Size 2,2018,16+,4.8,40%
Johnny Kapahala - Back on Board,2007,none,5.5,none
Jumping Ship,2001,all,6.2,none
The Million Dollar Duck,1971,all,5.9,17%
Frenemies,2012,all,5,none
Eddie's Million Dollar Cook Off,2003,all,6,none
Babes in the Woods,1932,none,6.8,none
America's Heart and Soul,2004,7+,5.1,50%
The Mistle-Tones,2012,7+,6.7,none
A Ring of Endless Light,2002,all,6.1,none
The Other Me,2000,all,6.1,none
"Up, Up, and Away",2000,all,5.6,none
Dolphin Reef,2018,all,6.8,none
Gus,1976,all,5.9,none
Almost Angels,1962,none,6.7,none
Gotta Kick It Up!,2002,all,5.8,none
The African Lion,1955,all,7.2,none
Horse Sense,1999,all,6.2,none
Snowglobe,2007,7+,6,none
Once Upon A Mattress,2005,7+,6.3,none
Jonas Brothers: The Concert Experience,2009,all,1.6,24%
You Wish!,2003,all,6.1,none
The Country Bears,2002,all,4.1,29%
A Celebration of the Music from Coco,2020,none,7.4,none
In the Footsteps of Elephant,2020,none,7.8,none
Out of Scale,1951,none,7.5,none
Inspector Gadget 2,2003,all,3.4,40%
Zenon: Z3,2004,all,5.5,none
Den Brother,2010,none,5.4,none
Miracle In Lane 2,2000,all,6,none
Three Days,2001,all,7.2,none
Atlantis Rising,2017,none,6.6,none
Doug's 1st Movie,1999,all,5,26%
The Strongest Man in the World,1975,all,6.1,none
Titanic: 20 Years Later with James Cameron,2017,7+,7.2,none
Quints,2000,all,5.7,none
Breaking2,2017,7+,7.4,none
Life Is Ruff,2005,7+,4.9,none
Jungle Cat,1959,7+,7.5,none
Under the Sea: A Descendants Story,2018,none,6,none
Santa Paws 2: The Santa Pups,2012,all,4.9,none
Dadnapped,2009,all,4.9,none
Bride of Boogedy,1987,all,7.5,none
Into the Grand Canyon,2019,none,7.5,none
The Ultimate Christmas Present,2000,all,5.9,none
Diving with Dolphins,2020,none,7.5,none
A Kid in King Arthur's Court,1995,7+,4.7,5%
Marvel Rising: Chasing Ghosts,2019,none,4.6,none
Super Buddies,2013,all,4.2,none
The Sandlot: Heading Home,2007,7+,5,none
Marvel Rising: Heart of Iron,2019,none,4,none
The Secret of the Magic Gourd,2007,all,5.1,none
Recess: All Growed Down,2003,all,6.7,none
The Scream Team,2002,7+,6.7,none
Perri,1957,all,6.7,none
Penguins: Life on the Edge,2020,none,6.9,none
High School Musical: The Musical: The Series: The Special,2019,none,7.5,none
Buffalo Dreams,2005,all,5.8,none
Full-Court Miracle,2003,all,5.8,none
Twas the Night,2001,all,5.4,none
George of the Jungle 2,2003,7+,3.3,17%
The Plausible Impossible,1956,none,7.7,none
Miracle at Midnight,1998,none,7.1,none
Iron Man & Hulk: Heroes United,2013,7+,4.7,none
Stepsister from Planet Weird,2000,all,5.9,none
Expedition Mars,2016,none,8,none
That Darn Cat,1997,7+,4.7,13%
Those Calloways,1965,7+,6.7,none
The Sign of Zorro,1958,none,7.1,none
Decorating Disney: Holiday Magic,2017,7+,6.9,none
Treasure of Matecumbe,1976,all,6.2,none
The Christmas Star,1986,all,6.4,none
Stonehenge: Decoded,2008,none,6.5,none
Marvel Rising: Operation Shuri,2019,7+,5.2,none
Emil and the Detectives,1964,7+,6.2,none
Marvel Rising: Battle of the Bands,2019,none,5,none
Kazaam,1996,7+,3,6%
Marvel Rising: Playing with Fire,2019,7+,5.3,none
Nature's Half Acre,1951,none,7.2,none
Ready to Run,2000,all,5.3,none
You Lucky Dog,1998,all,4.7,none
Water Birds,1952,none,6.7,none
The Flood,2018,none,8.1,none
Skyrunners,2009,all,5,none
The Lost Tomb of Alexander the Great,2019,7+,6.6,none
Drain the Great Lakes,2011,all,6.9,none
Disney's Fairy Tale Weddings,2017,none,6.8,none
Paris to Pittsburgh,2018,none,6.9,none
A Tale of Two Critters,1977,all,6.5,none
Drain the Titanic,2016,none,6.4,none
Fuzzbucket,1986,all,6.2,none
Trail of the Panda,2009,all,6.5,none
Secrets of Christ's Tomb: Explorer Special,2017,none,6.4,none
"Sammy, the Way-Out Seal",1962,all,6.7,none
Meet the Deedles,1998,7+,4.1,7%
Justin Morgan Had a Horse,1972,all,6.5,none
The Biscuit Eater,1972,all,5.7,none
Miracle Landing on the Hudson,2013,none,6.7,none
Prowlers of the Everglades,1953,none,8,none
The Castaway Cowboy,1974,all,5.9,none
Casebusters,1986,all,5.8,none
Mission to the Sun,2018,7+,6.9,none
Drain the Bermuda Triangle,2014,none,6.4,none
Drain The Ocean: WWII,2016,7+,7,none
Hounded,2001,all,5.1,none
Yellowstone Cubs,1963,all,6.9,none
Kingdom of the Blue Whale,2009,none,7.3,none
Viking Warrior Women,2019,none,6.6,none
Pocahontas,1995,none,5.3,55%
Drain Alcatraz,2017,none,5.9,none
The Spaceman and King Arthur,1979,all,5.3,none
Secrets of Life,1956,all,7.2,none
Hacksaw,1971,7+,6.3,none
Can of Worms,1999,7+,5,none
My Dog the Thief,1969,none,6.1,none
Richie Rich's Christmas Wish,1998,all,4.1,none
The Jungle Book: Mowgli's Story,1998,all,4.2,none
How Dogs Got Their Shapes,2016,none,6.7,none
Drain The Sunken Pirate City,2017,none,6.6,none
Bizarre Dinosaurs,2010,none,6.8,none
Earth Live,2017,none,5.5,none
The Boy Who Talked to Badgers,1975,none,6.2,none
Sea of Hope: America's Underwater Treasures,2017,none,7.3,none
Sultan And The Rock Star,1980,none,5.9,none
Secrets of the King Cobra,2010,none,6.4,none
Winged Seduction: Birds of Paradise,2012,none,6.5,none
The Bears and I,1974,all,6.2,none
Whispers: An Elephant's Tale,2000,all,5,none
The Ghosts of Buxley Hall,1980,none,6.2,none
The Poof Point,2001,7+,4.7,none
Sharks of Lost Island,2013,none,5.7,none
Man Among Cheetahs,2017,none,6.6,none
In Beaver Valley,1950,none,none,none
Lab Rats,2012,7+,6.6,none
America's Funniest Home Videos,1989,7+,6.2,none
Brain Games,2011,7+,8.3,none
Jessie,2011,all,5.9,none
PJ Masks,2015,all,5.6,none
Best Friends Whenever,2015,all,5.5,none
The Simpsons,1989,7+,8.7,85%
Gravity Falls,2012,7+,8.9,100%
Marvel's Runaways,2017,16+,7,87%
Star vs. the Forces of Evil,2015,7+,8,none
X-Men: Evolution,2000,7+,7.9,none
Good Luck Charlie,2010,all,7,none
K.C. Undercover,2015,all,6.1,none
Doug,1991,all,7.4,none
Life Below Zero,2013,7+,8,none
Running Wild with Bear Grylls,2014,7+,7.7,none
The Incredible Dr. Pol,2011,7+,8.6,none
Doc McStuffins,2012,all,6.7,none
Handy Manny,2006,all,5.5,none
Sheriff Callie's Wild West,2013,all,6.4,none
Henry Hugglemonster,2013,all,5.2,none
Holiday Magic,2017,none,7,none
Out There with Jack Randall,2019,none,6.9,none
Lost Treasures of Egypt,2019,none,none,none
The Mandalorian,2019,7+,8.7,93%
Star Wars: The Clone Wars,2008,7+,8.2,93%
Marvel's Agent Carter,2015,7+,7.9,86%
Star Wars Rebels,2014,7+,8,100%
DuckTales,2017,7+,8.2,100%
X-Men,1992,7+,8.4,85%
One Strange Rock,2018,all,8.8,83%
Spider-Man,1994,all,8.3,none
High School Musical: The Musical: The Series,2019,7+,7.3,79%
Boy Meets World,1993,all,8.1,none
The Imagineering Story,2019,7+,9.1,100%
Phineas and Ferb,2007,all,7.9,none
DuckTales,1987,7+,8.1,none
Wizards of Waverly Place,2007,all,6.8,none
Lizzie McGuire,2001,all,6.6,100%
Kim Possible,2002,7+,7.2,none
Recess,1997,7+,7.8,none
Wolverine and the X-Men,2008,7+,8,67%
That's So Raven,2003,all,6.5,none
The Avengers: Earth's Mightiest Heroes,2010,7+,8.3,none
The World According to Jeff Goldblum,2019,7+,7.9,82%
Gargoyles,1994,7+,8.1,none
Chip 'n' Dale Rescue Rangers,1989,all,7.6,none
The Suite Life of Zack & Cody,2005,all,6.5,none
Girl Meets World,2014,all,7.2,none
Darkwing Duck,1991,7+,7.6,none
Marvel's Ultimate Spider-Man,2012,7+,7.1,none
Disney Gallery / Star Wars: The Mandalorian,2020,7+,8.5,none
TRON: Uprising,2012,7+,8.2,none
The Suite Life on Deck,2008,all,6.3,none
TaleSpin,1990,all,7.6,none
Gordon Ramsay: Uncharted,2019,none,8,83%
The Muppets,2015,7+,7.4,64%
Disney's Adventures of the Gummi Bears,1985,all,7.5,none
Rapunzel's Tangled Adventure,2017,all,7.6,none
Mickey Mouse Clubhouse,2006,all,5.7,none
Hannah Montana,2006,all,5,none
